@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {cell,back,giemsa}

@data
195.666672,194,117,251,154,255,0,255,0,0,1,255,255,193.333328,146,255,0,255,0,0,1,255,255,180.333328,90.666664,255,0,255,0,0,1,255,255,12.666667,165,27.333334,189,0,170,18,0,0,255,255,28.333334,15.666667,163,22.666666,121,131.666672,170,140.666672,12,0.666667,255,255,30.333334,18,6.333333,186.666672,13.333333,41.666668,52.333332,188.333328,46,6,0.666667,255,238.333328,16.666666,8.333333,2.333333,0,174.333328,187.333328,148.666672,255,12,175.666672,cell
190,197,117,240,81,255,0,255,0,0,0,255,255,189.666672,78,255,0,255,0,0,0,255,255,183.666672,66.333336,255,0,255,0,0,0,255,255,6,163,49.666668,189,8.666667,170,24,0,0,255,255,26.666666,20.666666,164.333328,28,143.666672,151,170,168.333328,7.333333,1,255,255,25.666666,20,3.666667,187.666672,14.333333,39.666668,48.666668,181.333328,44,4.666667,0.666667,255,251.666672,14.333333,9,0.666667,0,174.666672,187,151.333328,255,11.666667,177,cell
176.666672,194,108,221,189.666672,255,0,170,141.333328,0,0,255,255,175,188,255,0,170,175,0,0,255,255,163.666672,164,255,0,0,255,0,0,255,255,11,157.666672,68.666664,209,161,121.333336,203.333328,51.666668,1,255,255,17,6,169.333328,34.666668,160,157.666672,85,192,0,1,255,255,9.333333,4,0,190.333328,17.333334,36.333332,43.333332,168,42.333332,2.333333,0.666667,255,254,3.666667,1,0,0,175,192,154,255,15,178.333328,cell
170.666672,197,114,214,229.666672,255,0,255,111.333336,0,0,255,255,169.666672,229.333328,255,0,255,116,0,0,255,255,163,213.333328,255,0,170,131.333328,0,0,255,255,6.666667,154.666672,71,201.333328,148,85,185.333328,4,0.333333,255,255,15,8.666667,167.666672,39.666668,161,170.333328,85,193.333328,3,1,255,255,7.333333,3.666667,0,188.666672,17,35.333332,42.333332,167.666672,39.666668,3.666667,0.666667,255,255,2,0.666667,0,0,173.333328,190.333328,150.666672,255,15,175.333328,cell
190,197,117,240,81,255,0,255,0,0,0,255,255,189.666672,78,255,0,255,0,0,0,255,255,183.666672,66.333336,255,0,255,0,0,0,255,255,6,163,49.666668,189,8.666667,170,24,0,0,255,255,26.666666,20.666666,164.333328,28,143.666672,151,170,168.333328,7.333333,1,255,255,25.666666,20,3.666667,187.666672,14.333333,39.666668,48.666668,181.333328,44,4.666667,0.666667,255,251.666672,14.333333,9,0.666667,0,174.666672,187,151.333328,255,11.666667,177,cell
197.333328,197,119,251,120.333336,255,0,255,0,0,0,255,255,195.666672,116.333336,255,0,255,0,0,0,255,255,184,101.333336,255,0,255,0,0,0,255,255,11.666667,159,58,183,0,170,19,0,0,255,255,36.666668,25.333334,162.333328,30.333334,151.333328,169.333328,224.666672,174,13.333333,1,255,255,33.333332,21.666666,2.666667,186.333328,14,38.333332,47.666668,178.333328,42,6.666667,0.666667,255,255,19.666666,10.333333,0,0,173,188.666672,154.333328,255,11,174,cell
197.666672,191,116,255,218,255,0,255,0,0,0,255,255,195,207.666672,255,0,255,0,0,0,255,255,179.666672,139.333328,255,0,255,0,0,0,255,255,15.333333,161,47.666668,196.333328,0,170,6,0,0,255,255,34.333332,18.666666,160.666672,20.333334,129.333328,149.666672,170,145.666672,20,0.666667,255,255,34,18.666666,4,185.333328,12,41.333332,52.333332,186.333328,45,8,0.666667,255,242.666672,18,8.666667,0.666667,0,172,186,151.333328,255,10,171,cell
121.333336,193,122,158,244.666672,255,255,255,255,77,0,255,255,123.666664,239,255,255,255,255,70,0,255,255,136.333328,175,255,255,255,255,24.333334,0,255,255,0,149.333328,58.333332,187,187.666672,170,225.666672,5.333333,0.333333,255,255,0,0,159,13.333333,121,151.666672,196.333328,128.333328,33.666668,0.666667,255,255,0,0,0,183.666672,9.666667,42,54.333332,189.333328,44.333332,10.666667,0.666667,255,229.333328,0,0,0,0,165.666672,176.666672,150.333328,255,9.666667,167.333328,cell
93,192,141,128,147.333328,255,255,255,255,113.333336,0,255,255,98.666664,137,255,255,255,255,92.666664,0,255,255,126.666664,88.666664,255,255,255,255,0,0,255,255,0,149.666672,54.333332,255,255,85,255,0,0.333333,255,255,0,0,160.333328,19.666666,109.333336,137.333328,170,113.666664,37.333332,0.666667,255,255,0,0,0,184.333328,11.333333,42,55,191.333328,43.333332,11.666667,0.666667,255,212,0,0,0,0,164.333328,179,146,255,11,168,cell
156.333328,189,133,214,255,255,170,0,255,0,0,255,255,155.666672,250.333328,255,170,0,255,0,0,255,255,154,197.333328,255,202.333328,85,255,8,0,255,255,3,157.333328,75,249.333328,87,0,255,0,0.333333,255,255,2.666667,0,163,27.666666,101.666664,125,170,102,38,0.666667,255,251,3.333333,0.666667,0.666667,185.333328,14.666667,40,53.333332,190.333328,40.666668,12.666667,0.666667,255,197.333328,1.666667,0,0,0,169.666672,180.333328,157.333328,255,8.333333,170,cell
